id,picture_id,name,now_cost,position,team,expected_goals_conceded,corners_and_indirect_freekicks_order,selected_rank_type,points_per_game_rank_type,minutes,points_per_game,expected_goals_conceded_per_90,value_season,ep_next,starts,chance_of_playing_this_round,form_rank,form,expected_goal_involvements,own_goals,saves_per_90,assists,expected_assists_per_90,goals_conceded,bonus,yellow_cards,influence_rank,creativity_rank,expected_goals,chance_of_playing_next_round,penalties_missed,event_points,web_name,penalties_order,value_form,transfers_in,in_dreamteam,now_cost_rank,ep_this,selected_rank,goals_scored,ict_index_rank,transfers_in_event,ict_index,transfers_out_event,cost_change_start_fall,transfers_out,expected_goals_per_90,creativity_rank_type,influence,now_cost_rank_type,threat,news,penalties_saved,threat_rank,clean_sheets_per_90,dreamteam_count,clean_sheets,starts_per_90,cost_change_event_fall,status,selected_by_percent,total_points,form_rank_type,saves,bps,cost_change_event,expected_goal_involvements_per_90,goals_conceded_per_90,expected_assists,ict_index_rank_type,points_per_game_rank,direct_freekicks_order,news_added,cost_change_start,red_cards,creativity,threat_rank_type,influence_rank_type
377,p216051,Diogo Dalot Teixeira,50,DEF,Man Utd,15.58,,38,29,924,3.5,1.52,7.6,4.8,10,,44,4.3,1.43,0,0.0,0,0.1,15,5,2,86,42,0.40,,0,6,Dalot,,0.9,378079,FALSE,196,5.3,93,1,71,32736,48.6,7724,0,212833,0.04,8,209.4,25,64.0,,0,169,0.29,1,3,0.97,0,a,3.7,38,15,0,206,0,0.14,1.46,1.03,12,97,,,0,0,212.1,34,28
379,p80607,Christian Eriksen,59,MID,Man Utd,12.70,3.0,76,80,603,2.6,1.9,4.9,0.0,6,100.0,171,2.0,1.31,0,0.0,1,0.13,12,4,0,148,90,0.43,0.0,0,1,Eriksen,,0.3,45187,FALSE,67,3.0,241,1,135,114,33.8,4193,1,66584,0.06,65,148.4,42,59.0,Knee injury - Expected back 09 Dec,0,185,0.15,0,1,0.9,0,i,0.5,29,77,0,135,0,0.19,1.79,0.88,71,181,4.0,2023-11-12T02:00:09.638191Z,-1,0,129.7,105,58
380,,Álvaro Fernández Carreras,40,DEF,Man Utd,0.00,,138,202,0,0.0,0.0,0.0,0.0,0,0.0,464,0.0,0.00,0,0.0,0,0.0,0,0,0,546,530,0.00,0.0,0,0,Fernandez,,0.0,5187,FALSE,696,0.0,365,0,552,0,0.0,222,0,24154,0.0,203,0.0,214,0.0,Season-long loan to Granada CF,0,508,0.0,0,0,0.0,0,u,0.1,0,171,0,0,0,0.0,0.0,0.00,205,557,,2023-09-02T08:57:43.838494Z,0,0,0.0,196,206
381,p101582,Frederico Rodrigues de Paula Santos,50,MID,Man Utd,0.00,,193,304,0,0.0,0.0,0.0,0.0,0,0.0,679,0.0,0.00,0,0.0,0,0.0,0,0,0,711,707,0.00,0.0,0,0,Fred,,0.0,322,FALSE,172,0.0,536,0,711,0,0.0,32,0,10667,0.0,302,0.0,106,0.0,Permanent transfer to Fenerbahce,0,704,0.0,0,0,0.0,0,u,0.0,0,286,0,0,0,0.0,0.0,0.00,304,711,,2023-08-14T03:59:16.804199Z,0,0,0.0,301,304
382,p493105,Alejandro Garnacho,47,MID,Man Utd,7.22,,52,135,399,1.6,1.63,3.4,2.5,4,,155,2.0,1.17,0,0.0,0,0.07,4,0,1,325,105,0.85,,0,3,Garnacho,,0.4,100426,FALSE,331,3.0,161,0,133,2988,34.2,3258,3,237326,0.19,77,42.2,215,181.0,,0,51,0.68,0,3,0.9,0,a,1.2,16,66,0,40,0,0.26,0.9,0.32,70,295,,,-3,0,120.6,32,141
383,p465527,Hannibal Mejbri,44,MID,Man Utd,2.11,,94,32,116,4.0,1.64,1.8,0.5,1,,549,0.0,0.51,0,0.0,0,0.37,1,0,1,306,295,0.03,,0,0,Hannibal,,0.0,44169,FALSE,542,1.0,297,1,338,338,8.9,1107,1,28810,0.02,157,48.2,301,13.0,,0,333,0.78,0,1,0.78,0,a,0.2,8,201,0,30,0,0.39,0.78,0.48,153,58,,,-1,0,27.7,167,132
384,p21205,Tom Heaton,40,GKP,Man Utd,0.00,,61,46,0,0.0,0.0,0.0,0.5,0,100.0,390,0.0,0.00,0,0.0,0,0.0,0,0,0,481,464,0.00,100.0,0,0,Heaton,,0.0,1739,FALSE,614,1.0,417,0,487,115,0.0,112,0,7067,0.0,29,0.0,36,0.0,,0,440,0.0,0,0,0.0,0,a,0.1,0,44,0,0,0,0.0,0.0,0.00,46,492,,2023-08-11T13:00:07.024643Z,0,0,0.0,22,46
386,p184667,Victor Lindelöf,45,DEF,Man Utd,12.92,,96,28,763,3.5,1.52,7.8,5.8,8,100.0,30,5.3,0.52,0,0.0,1,0.04,9,3,1,140,141,0.22,100.0,0,15,Lindelof,,1.2,43833,FALSE,375,6.3,247,1,182,14610,28.3,1102,0,26652,0.03,30,156.0,66,33.0,,0,247,0.24,1,2,0.94,0,a,0.4,35,10,0,163,0,0.07,1.06,0.30,52,96,,2023-11-03T17:30:08.582954Z,0,0,93.0,73,52
387,p95658,Harry Maguire,43,DEF,Man Utd,8.90,,52,34,476,3.3,1.68,5.3,5.2,5,100.0,39,4.7,0.28,0,0.0,1,0.05,7,2,0,167,273,0.03,100.0,0,6,Maguire,,1.1,229635,FALSE,568,5.7,124,0,260,28968,18.6,3645,2,63362,0.01,86,135.0,129,14.0,,0,325,0.38,0,2,0.95,-1,a,2.3,23,12,0,113,1,0.06,1.32,0.25,87,107,,2023-09-20T09:00:09.995371Z,-2,0,35.6,111,68
388,p516895,Kobbie Mainoo,44,MID,Man Utd,0.00,,198,249,0,0.0,0.0,0.0,0.5,0,100.0,558,0.0,0.00,0,0.0,0,0.0,0,0,0,611,604,0.00,100.0,0,0,Mainoo,,0.0,3277,FALSE,560,1.0,546,0,618,250,0.0,159,1,2981,0.0,242,0.0,314,0.0,,0,591,0.0,0,0,0.0,0,a,0.0,0,208,0,0,0,0.0,0.0,0.00,245,624,,2023-08-06T23:30:05.871870Z,-1,0,0.0,237,240
